fila,metric,N_delta_pct,D_delta_pct,U_delta_pct,W_delta_pct
1,N,54.16
1,D,159.90
1,U,-0.37
1,W,-40.68
2,N,72.34
2,D,90.32
2,U,1.51
2,W,-9.45
3,N,73.86
3,D,87.50
3,U,0.00
3,W,-7.28
