fila,N,D_s-1,D_h-1,U,W_s,perdas_abs,perdas_pct
1,7.457615,0.02883157,103.7937,0.994689,258.647560,1370,0.00
2,7.502029,0.01249952,44.9983,0.999961,600.185477,156,0.00
3,12.840742,0.00619500,22.3020,0.991201,2073.007491,42,0.00
